generic_name,brand_name,dosage,formulation,usage,route,side_effects,storage,image,video,info
Cetrorelix,Cetrotide,0.25 mg,Liquid,Prevent premature ovulation,Inject under the skin,"Headache, abdominal pain, and nausea",Store refrigerated bewtween 36-46°F,https://www.grxstatic.com/d4fuqqd5l3dbz/products/tms/Package_4138.JPG,https://www.youtube.com/watch?time_continue=3&v=beNtW7MHnYA&feature=emb_logo,https://villagepharmacy.com/wp-content/uploads/2018/08/Cetrotide-MI.pdf
Clomiphene,Clomid,50 mg,Tablet,Stimulate ovulation,Take by mouth,"Hot flashes, visual spots in front of the eyes, headaches and mood changes","Store between 59-86ºF and store in closed containers away from heat, light and excessive hudimity",https://www.grxstatic.com/d4fuqqd5l3dbz/products/tms/DrugItem_1796.JPG,,https://villagepharmacy.com/wp-content/uploads/2018/08/Clomiphene-MI.pdf
Estradiol,Delestrogen,20 mg/ml,Liquid,Induce ovulation and prepare uterus lining for embryo implantation,Inject into the muscle,"Headache, breast tenderness, mood changes, weight changes, and fluid retention",Store between 68-77°F,https://www.grxstatic.com/d4fuqqd5l3dbz/products/tms/Package_22011.JPG,https://www.youtube.com/watch?v=vpMBRVKoTPU,
Estradiol,Vivelle Dot,0.1 mg,Patch,Induce ovulation and prepare uterus lining for embryo implantation,Apply onto skin,"Skin irritation, headache, breast tenderness, mood changes, weight changes, and fluid retention",Store at room temperature 68-77°F,https://www.grxstatic.com/d4fuqqd5l3dbz/products/tms/Package_22010.JPG,,https://www.youtube.com/watch?v=kx_IQvK6KWM
Follitropin Alfa,Gonal F Redi-Ject,300 IU,Liquid,Stimulate ovulation,Inject under the skin,"Injection site discomfort, mood changes, abdominal discomfort, bloating, cramping, and ovarian hyper-stimulation","Before first use: Store refrigerated (36-
46°F) until expiration date or at room temperature (68-77°F) for up to 3 months or
until expiration, whichever occurs first . After initial use: Store at room temperature
or refrigerated for up to 28 days. Protect from light. Do not freeze.",https://newerapharmacy.com/wp-content/uploads/2018/02/Gonal-F-300-1200x675.jpg,https://www.youtube.com/watch?v=tqDtl_EHHFA,https://villagepharmacy.com/wp-content/uploads/2018/08/Gonal-f-MI.pdf
Follitropin Alfa,Gonal F Redi-Ject,450 IU,Liquid,Stimulate ovulation,Inject under the skin,"Injection site discomfort, mood changes, abdominal discomfort, bloating, cramping, and ovarian hyper-stimulation","Before first use: Store refrigerated (36-
46°F) until expiration date or at room temperature (68-77°F) for up to 3 months or
until expiration, whichever occurs first . After initial use: Store at room temperature
or refrigerated for up to 28 days. Protect from light. Do not freeze.",https://clearhealthcosts.com/wp-content/uploads/2019/07/Screen-Shot-2019-07-04-at-5.24.30-PM.png,https://www.youtube.com/watch?v=tqDtl_EHHFA,https://villagepharmacy.com/wp-content/uploads/2018/08/Gonal-f-MI.pdf
Follitropin Alfa,Gonal F Redi-Ject,900 IU,Liquid,Stimulate ovulation,Inject under the skin,"Injection site discomfort, mood changes, abdominal discomfort, bloating, cramping, and ovarian hyper-stimulation","Before first use: Store refrigerated (36-
46°F) until expiration date or at room temperature (68-77°F) for up to 3 months or
until expiration, whichever occurs first . After initial use: Store at room temperature
or refrigerated for up to 28 days. Protect from light. Do not freeze.",https://newerapharmacy.com/wp-content/uploads/2018/02/Gonal-F-900-1.jpg,https://www.youtube.com/watch?v=tqDtl_EHHFA,https://villagepharmacy.com/wp-content/uploads/2018/08/Gonal-f-MI.pdf
Menotropins,Menopur,75 IU,Powder and diluent,Stimulate ovulation,Inject under the skin,"Injection site discomfort, mood changes, headache, abdominal discomfort, nausea, bloating, and cramping",Store at room temperature or refrigerated (37-77°F). Protect from light. Use immediately after reconstitution/mixing.,https://ndclist.com/assets/spl/images/22c8db95-c3db-1770-8086-31356fbabe35/menopur-29.jpg,https://www.youtube.com/watch?v=HBrRpb436A0,https://villagepharmacy.com/wp-content/uploads/2018/08/Menopur-MI.pdf
Human chorionic gonadotropin,Novarel,"5,000 Units",Powder and diluent,Induce egg maturation and trigger ovulation,Inject under the skin or into the muscle,"Injection site discomfort, mood changes, headache, bloating, nausea, and vomiting",,https://www.walgreens.com/images/drug/0155566150101.jpg,https://www.youtube.com/watch?v=1qSZlAFRNMI,https://villagepharmacy.com/wp-content/uploads/2018/08/HCG-MI.pdf
Recombinant human chorionic gonadotropin,Ovidrel,250 mcg,Liquid,Induce egg maturation and trigger ovulation,,"Injection site discomfort, headache, irritability, fatigue, edema",Keep refrigerated,https://fertility.mymomentum.ca/content/dam/web/health-care/biopharma/web/mymomentum/images/ovidrel_pen_thumbnail_1.PNG,https://www.youtube.com/watch?v=mmD_Fi4LcS0,https://villagepharmacy.com/wp-content/uploads/2018/08/Ovidrel-MI.pdf
Human chorionic gonadotropin,Pregnyl,"10,000 Units",Powder and diluent,Induce egg maturation and trigger ovulation,Inject under the skin or into the muscle,"Injection site discomfort, mood changes, headache, bloating, nausea, and vomiting",Store at room temperature (59-86°F). After reconstitution/ mixing: Refrigerate and use within 60 days,https://www.grxstatic.com/d4fuqqd5l3dbz/products/Package_17892.JPG,https://www.youtube.com/watch?v=seXGpX_uFBg,https://villagepharmacy.com/wp-content/uploads/2018/08/HCG-MI.pdf